MF: LIHC,METH: LIHC,GE: LIHC
0,0.010405784,0.35107875
0,0.006161478,0.3162787
0.024918627,0.007816382,0.03357081
0,0.11252285,0.018435622
0,0.004310329,0.020263914
0,0.06297128,0.017275885
0.024691515,0.008259379,0.12765492
0.0249804,0.014281725,0.07734598
0,0.116525844,0.04575841
0,0.004991676,0.013892655
0.024588767,0.02708218,0.005177052
0,0.013412564,0.036088437
0,0.019005487,0.024381949
0.09940181,0.001584714,0.003249008
0.26560235,0.003884131,0.021250324
0.023943111,0,0.1111038
0.07441648,0.000876934,0.06824089
0.025038203,0.003548235,0.007177507
0,0.000209391,0.020456217
0,0.027524393,0.3554275
0.024803642,0.061909363,0.2463436
0,0.17879823,0.052242298
0,0.006412719,0.02802755
0,0.42559576,0.045636192
0.025005491,0.007157951,0.025219556
0.025018152,0.04938559,0.19015627
0,0.068018526,0.052161418
0.025059234,0.000429126,0.008192529
0,0.06451991,0.08012271
0,0.001292002,0.011222799
0,0.007570865,0.053445023
0,0.104448505,0
0,0.001972251,0.0394295
0.024877494,0.116871,0.089808404
0.025056,0.018072758,0.014748807
0,0.1009038,0.015581954
0.02491349,0.050628375,0.05825002
0,0,0.014099743
0,0.01653997,0.38943547
0.04966036,0.002360562,0.018364025
0,0.115636826,0.026241818
0.02501573,0.00199374,0.14405505
0.04987558,0.004104633,0.20977604
0.025034154,0.004611125,0.35319263
0,0.005713364,0.09510717
0.024955714,0.00088356,0.27643272
0,0.000750115,0.11041682
0.025028553,0.003401464,0.10095987
0,0.51001585,0.40810144
0,0.0184524,0.028506532
0,0.014169304,0.10525605
0,0.20713475,0.06697523
0,0.007072493,0.03378111
0,0.005511059,0.03125244
0.07495921,0.00758561,0.14036521
0,0.001928326,0.33700013
0,0.007818854,0.073882274
0,0.00347757,0.0403363
0,0.040005226,0.086223766
0.050017178,0.016697954,0.028007487
0.024914453,0.08061252,0.011149507
0,0.007734362,0.00874558
0,0.004725068,0.080406494
0,0.002669312,0.025565883
0.0744518,8.79E-05,0.027856128
0.025055075,0.032614846,0.03910049
0,0.005156258,0.007859482
0,0.044432174,0.056177773
0.025017388,0.0357369,0.05507942
0.0486975,0,0.042945024
0,0.010324432,0.022841813
0.025052624,0.00446996,0.20082761
0,0.019483633,0.029014057
0.02499892,0.03909184,0.12775555
0,0.005278626,0.08860992
0,0.49159756,0
0,0.27365807,0
0,0.005246845,0.031716403
0.025027841,0.015765488,0.03153982
0.04987608,0.22267552,0.15498365
0.049886826,0.017349135,0.1335314
0.049598362,0.015389553,0.025816292
0,0.21284741,0.11043664
0.02499367,0.005449673,0.055122957
0,0.11936165,0.25593987
0,0.001483553,0.023365185
0.049970087,0.024118127,0
0.025068592,0.017437292,0.036637582
0.0248098,0.17432149,0.37793484
0.09929157,0.005500002,0.1677602
0,0.001448416,0.037632022
0,0.014079561,0.20802525
0.123856805,0.09512688,0.03783289
0.02487618,0.16013707,0.048080787
0,0.057867616,0.24210982
0.024797171,0.006164053,0.015985621
0,0.251119,0.2235911
0.025051245,0.028604418,0.047221698
0.025002412,0.6579988,0
0,0.000611883,0.03896624
0,0.000643518,0.07733186
0.024614088,0.034370087,0.03758755
0,0.023219142,0.11478506
0.050079957,0.25218576,0.02552547
0.049630072,0.10584809,0.04864745
0,0.25701326,0.09482585
0,0.17386527,0.27230793
0.024793113,0.00683655,0.004682355
0.025041768,0.006091018,0.037992135
0,0.27745277,0.0826862
0.02487787,0.011146401,0.049894996
0,0.069362916,0.001754083
0,0.14104389,0.049563706
0.023285076,0.021345017,0.005518839
0.09509722,0.2786607,0.019632015
0.024821041,0.003460432,0.012841919
0.02499836,0.005512666,0.04716953
0,0.27499506,0.044155635
0,0.002249149,0
0,0.006658225,0
0,0.041385606,0.054607138
0,0.016742352,0.03325906
0,0.003245134,0.058100328
0.04999053,0.008803587,0.004615735
0.024944248,0.000449769,0.10388991
0,0.005823248,0.10480639
0,0.085565366,0.14931317
0.07488665,0.7214655,0.008331846
