MF: LUAD,METH: LUAD,GE: LUAD
0.040683415,0.005270511,0.170028
0,0.003678845,0.36530167
0,0.01642062,0.048694376
0,0.006508747,0.26335803
0,0.006791884,0.09433022
0.020543812,0.004635243,0.014729938
0,0.4718922,0.12849487
0,0.01134829,0.06057171
0.020544307,0.05886812,0.08002494
0,0.08678817,0.35957298
0,0.012246443,0.18419349
0.097766,0.007522918,0.009866967
0,0.009562432,0.13545762
0.020467868,0.007107555,0.19798265
0.019629767,0.010468937,0.05701429
0,0.007778603,0.027676677
0,0.01433206,0.039343566
0,0.018651886,0.034603093
0.040195692,0.006024808,0.017908787
0.040760025,0.004962525,0.0100662
0,0.009771921,0.025915937
0.040834706,0.0093031,0.033137783
0.056660358,0.01263743,0.06797144
0,0.002629837,0.05132689
0.0203385,0.006759561,0.073183715
0.020441517,0.002994793,0.047696102
0,0.028346451,0.030576225
0,0,0.03964252
0,0.007899399,0.019578375
0,0.01611812,0.3874929
0.020292506,0.006700877,0.06926615
0.020388868,0.08403764,0.13705906
0,0.033153325,0.06780436
0.019994278,0.4286644,0.044314947
0.020444313,0.55272657,0
0,0.002022501,0.039176144
0.020412503,0.003605115,0.025687145
0.020023853,0.16618799,0.07819738
0.020492852,0.04540597,0.07036216
0.038684733,0.027991097,0.000231576
0.019776478,0.29033637,0.37170058
0,0.010197405,0.019248556
0,0.004075318,0.108209245
0,0.002360406,0.032876275
0.081034295,0.43084717,0
0,0.011894421,0.03706397
0,0.24546112,0.028049767
0.120657116,0.021542815,0.1722533
0,0.009310038,0.019426284
0,0.000352791,0.09818297
0,0.16998188,0.07971801
0,0.64137536,0.0578218
0.03966319,0.12939104,0.030282412
0,0.003502925,0.001117131
0.04099902,0.07388918,0.2725932
0,0.12170949,0.06583494
0.060841475,0.27232072,0.05391177
0,0.019504635,0.036497526
0.020484604,0.047654178,0.08299491
0,0.001082335,0.028241603
0.039936416,0.09721929,0.2587543
0,0.5703693,0.17524648
0,0.27071825,0.14677453
0,0.31923333,0.03500613
0,0.27657446,0.065112665
0.0388064,0.005502883,0.049141068
0,0.008268037,0.044976242
0,0.25403002,0.07384322
0.020443998,0.007711393,0.012857486
0,0.018092899,0.046488523
0,0.102905765,0.048417527
0,0.009592295,0.04623371
0.11826045,0.12482066,0.002021951
0.02036706,0.007072276,0.0160577
0,0.003456335,0.020406457
0,0.11753434,0.031782348
0,0.008293367,0
0,0.009652817,0
0.020544648,0.00497573,0.019504571
0,0.005285882,0.005349319
0.020426566,0.007319502,0.04196128
0,0.0329156,0.019986706
0,0.000491162,0.028393373
0.03918456,0.01809087,0.003202098
0,5.99E-05,0.039615795
0.2013484,0.2499508,0.09544555
0,0,0
0,0.017374557,0.005805623
