MF: BRCA,METH: BRCA,GE: BRCA
0.005310874,0.60443234,0
0,0.006371154,0.010931603
0.01062384,0.01965521,0.000766345
0.015886683,0.26809296,0.07566804
0,0.036207713,0.05399282
0.020694429,0.004111216,0.009002695
0.037107557,0.006956173,0.05747614
0,0.000253892,0.016251735
0.01593475,0.025328677,0.11895782
0.005267086,0.001861598,0.06472857
0.010618993,0.10579407,0.0879637
0,0.029468397,0.03766016
0.031488776,0.41866106,0.14792624
0.015882818,0.01895791,0.18557848
0.00511273,0.16057292,0.036735836
0.005299383,0.007535036,0.14456595
0.010529902,0.021883225,0.045060813
0.14238292,0.5275715,0.000977355
0.020833075,0.28589508,0.028059721
0.015915051,0.026993835,0.062508635
0,0.06690898,0.121461034
0,0.26792607,0.01962531
0,0.029216854,0
0.005305122,0.011356912,0.07885014
0,0.01824481,0.037388556
0,0.005565583,0.003862093
0.015888562,0.06654985,0.2940295
0,0.32048962,0.19593552
0.01578231,0.02548335,0.16206053
0,0.21612817,0.20320894
0.01062639,0.038622383,0.02669058
0.020944333,0.005383784,0.07852215
0.010610722,0.002056582,0.030294148
0,0.30586907,0.08740592
0.005310895,0.003596925,0.067822
0.01591416,0.021661641,0.02751435
0,0.09476843,0.022388903
0.010378634,0.09465924,0.03603799
0.030094404,0.27218932,0.046004016
0.005300421,0.011952276,0.003578048
0,0.008533753,0.03679548
0.021198465,0.124331966,0.011430529
0,0.003315317,0
0,0.009049648,0
0,0.024204504,0.010231064
0,0.01971973,0.00200084
0,0.004312002,0.024085324
0.010611417,0.015436204,0.020334238
0.010599394,0.001187548,0.102398776
0,0.072361216,0.027270904
0,0.12806723,0.12864743
0.026363015,0.51941776,0.23791406
0,0,0
0.005249013,0.019344358,0.013195291
0.005310743,0.049953405,0.007262619
0.00529117,0.04819856,0.1102294
0.010615964,0.002370468,0.01567191
0,0.005237408,0.053057645
0,0.2882355,0.011104302
0.010543774,0.027306128,0.001808806
0.01058675,0.002399859,0.058710095
0.01062201,0.007063916,0.042138968
0.010616452,0.4276987,0.2773679
0.005306209,6.30E-05,0.04072765
0.005315727,0.17656428,0.13364153
0.010611343,0.1197656,0.35880908
0.005228571,0.035225477,0.04333423
0,0.018125307,0.046168752
0.010610019,0.003474763,0.037146926
0.004935665,0.002063167,0.008761482
0.01062294,6.95E-05,0.028868416
0.010576353,0.007564066,0.003776187
0.021132655,0.056339867,0.053298984
0.026334852,0.001761698,0.003165596
0.05720453,0.00017171,0.12824921
0,0.030936833,0.065457635
0,0.001536,0.04061933
0.005269148,0.010283832,0.010431418
0,0.004750763,0.041297555
0.005314612,0.007685183,0.08114674
0.005310899,0.290708,0.045211636
0,0.001325349,0.25794882
0,0.18993998,0.022968262
0,0,0
0,0.007018434,0.031010248
0,0,0
0,0.003480639,0
0.015885884,0.015032293,0.17580712
0.015675135,0.007023585,0.12377023
0.005308684,0.005233479,0.13519809
0,0.055063907,0.03495642
0,0.012012229,0.05001211
0.010608307,0.06090245,0.09540862
0.005306928,0.014236803,0.007702715
0.010623846,0.10370884,0.08033927
0.00531271,0.01441222,0.018971756
0.015855493,0.002859508,0.024729982
0.005312292,0.003419737,0.08263478
0.005303451,0.047367048,0.003428913
0.005306415,0.00905976,0.068830244
0.01060748,0.09673412,0.07685815
0,0.010233909,0.14565529
0.005132772,0.003343762,0.033186015
0.015837993,0.2155822,0.22372139
0.026176414,0.028461808,0.08173579
0.01058815,0.16273446,0.09972237
0,0.3932786,0.03590682
0.005076682,0.031351455,0.0744016
0.010585617,0.023171684,0.069580674
0,0.003708139,0.033866964
0,0.14794488,0.08716306
0,0.00326209,0.05175725
0,0.09693805,0.004958766
