A,B,C
0,0.08062407,0.005993773
0,0.09692036,0.07597408
0,0.03888198,0.04129411
0.0306672,0.051088624,0.022668162
0,0.010449757,0.35342035
0,0.04371209,0.015332251
0,0.010200475,0.014056064
0.030611962,0.41406515,0.05974183
0,0.04338827,0.09439567
0.02952876,0.028018957,0.015085633
0,0.036822557,0.050482824
0.060678944,0.054035466,0.054684404
0.029782983,0.005106155,0.06848575
0.030171016,0.27335906,0.07748258
0.12149443,0.40118325,0.10392532
0,0.031707466,0.09313223
0.14752954,0.035017405,0.061982382
0,0.03429481,0.013064845
0,0.08592137,0.057467736
0.030515695,0.037985563,0.075740725
0,0.281818,0.061483916
0.03035867,0.016177393,0.063695796
0.030600296,0.020058554,0.15594396
0.028679416,0.002677686,0.21322519
0,0.14267243,0.36984918
0,0.35614732,0.05794325
0.029866504,0,0
0,5.06E-05,0.061719652
0,0.06836872,0.17096183
0,0.33391374,0.42223683
0,0.009572418,0.05844259
0.059150215,0.00204479,0.056687385
0.061186504,0,0.086117916
0.09230242,0.3449044,0
0,0.46581006,0.14975774
0.030749682,0.009686937,0.06290908
0,0.048200402,0.04291079
0,0.2238618,0.060871642
0.030642577,0.02278954,0.1769606
0,0.18530305,0.0703766
0.12169787,0.11103535,0.056377202
0,0.22142674,0.026239954
0,0.014696007,0.018341405
0,0.012086946,0.084957376
0,0.00317962,0.06289773
0.061252467,0.011408801,0.11561502
0.12038389,0.41919607,0.17361394
0,0.39659193,0.111489795
0,0.037458085,0.05715734
0.030781198,0.14706418,0.07794501
0,0.19002964,0.019054392
0,0.11330245,0.36489367
0,0,0.25076863
0,0.11344354,0
0,0.38660297,0
0,0,0.1764422
0,0.004799455,0.1044905
0,0.08094175,0.1364518
0,0.05498139,0.30502844
0,0.16436173,0
0,0.31834024,0
0,0.06741695,0
0,0,0.04667076
0,0.20302568,0.084671795
0,0.42601594,0.5973465
0,0.7035398,0
0.09132282,0.007203309,0.03101143
0,0.04040768,0.013574286
0.030684538,0.008393581,0.01940413
0,0.009737381,0
0.12002345,0.007046559,0.101791255
0.08497768,0.003541873,0.13214195
0.060756568,0.014959037,0.13418831
0.030530756,0.909882,0.24929677
0.03063006,0.001007508,0.038338095
0,0.001825823,0.03635074
0.030413266,0.09482568,0.019409355
0,0,0.011390558
0,0.022648633,0.27949414
0.06150571,0.07203853,0.040606473
0,0.2605215,0.39403296
0,0.7289805,0.21343951
0.059422094,0.44570938,0.06173181
0,0.006179467,0.027258793
0,0.016019382,0.011549749
0,0,0.11535124
0,0.29054615,0.091142096
0.030745024,0,0.11415189
0.030561134,0.23144619,0.2730082
0.029615583,0.1550912,0.20410214
0,0.3969152,0
0.06131405,0.50737154,0.0831176
0.03065311,0.07581431,0.117145434
0.030528765,0.08471645,0.134026
0.091561094,0.035166245,0.12886563
0,0.05441252,0.010544454
0,0.005220178,0.018013928
0.030627461,0.016692333,0.018091464
0.060463905,0.007052301,0.028118405
0,0.060940668,0.1463726
0,0.21478264,0.036019176
0,0,0.095107675
0,0.04624303,0.08901345
0.030684352,0.014043588,0.07420865
0,0.33948773,0
0.030227974,0.000259497,0.074821405
0,0.061298557,0.35656273
0,0.24477309,0.015373402
0,0.013273578,0.014414041
0,0.17542216,0.12340318
0,0,0
0.061194476,0.017607337,0.11461909
0.09133579,0.25056008,0
0,0.016801804,0.11471571
0,0.11438599,0.029527979
0.12137838,0.024871198,0.40220174
0,0.021521654,0.30707434
0.05977549,0.012908634,0.34507698
0,0.012332861,0.34222546
0.030486621,0.301385,0.4183807
0.030037766,0.14261387,0.39889282
0,0.14020391,0.061953776
0,0.20652463,0.09353568
0,0.15428673,0.09074878
0,0.107780315,0.31920803
0.030511675,0.032737184,0
0.03046274,0.015838798,0.11618
0,0.000871117,0.030875396
0.1132578,0,0.023455806
0,0.022458466,0.10180879
0.11636015,0,0.03203494
0,0.011971921,0.016776571
0,0.011653093,0.031542853
0,0.026178617,0.041914254
0,0.025460493,0.039955914
0,0.13671654,0.09470066
0.030299224,0.03394096,0.07915985
0.029033326,0.006113081,0.057847917
0,0.011116156,0.004166567
0.05498836,0.20043218,0.35914126
0.023408657,0.29816267,0.3069703
0,0.059063382,0.06811085
0,0.035923395,0.04169901
0.0609287,0.016521303,0.08259171
0,0.20903735,0.011180873
0.061413657,0.25729334,0.020494152
0,0.012395925,0.05071452
0,0.18068643,0.03188188
0,0.074049205,0.021872554
0,0.005034069,0
0,0.003673859,0
0,0.52887565,0
0,0.022804996,0
0,0.001731387,0.06698607
0,0.14459349,0.2132929
0,0.034395624,0.08261481
0,0.032859076,0.0305091
0,0.027114397,0.000942145
0,0.003847211,0.13511312
0.030424636,0,0.055938836
0.030463113,0.052928053,0.13587533
0,0,0.025832368
0,0.007351918,0.07339752
0,0.004046879,0.004029102
0.030564558,0.06851397,0.042874753
0.030607771,0.05204212,0.013273337
0.03072807,0.012423956,0.026082054
0,0.10096003,0.008244937
0,0.003887459,0.068219215
0.029892666,0.034732163,0.54380065
0.030551791,0.21609807,0.17419599
0,0.43526495,0.04641785
0,0.4132781,0.00624055
0.030737031,0.030235462,0.061931923
0,0.008997279,0.007802352
0,0,0
0,0.15465558,0.02788713
0.029953944,0.2834327,0.18880874
0.03077141,0.24019553,0
0.060092323,0,0.039106894
0,0.40774077,0.08689148
0,0.35761097,0.12948477
0.030751944,0.5654081,0.094495215
0,0.39871603,0.16959892
0,0.4613485,0.16085932
0,0.30379382,0.07304943
0,0.00343131,0.17499632
0.030246258,6.13E-05,0.083820604
0.27162662,0.03201394,0.08426939
0,0,0.000971883
0.030642513,0.018066203,0.017735
0,0.17018877,0.24266905
0.027655466,0.016149517,0.23801707
0.030672234,0.006267117,0.08683349
0,0.011094716,0.103552505
0.030787436,0.004602034,0.13551676
0,0.17445642,0.024559505
0.087641254,0,0.092271246
0.030316636,0.06371665,0.01682068
0,0.4782691,0.052498385
0,0.07556834,0.05693713
0,0.012697137,0.06613621
0,0.029425846,0.02192797
0.061323594,0.005607248,0.07017306
0.060847726,0.14798339,0.06952571
0.3046561,0.10180761,0.06297455
0.030680316,0.14115667,0.033505596
0.18380687,0.33304104,0.000500119
0,0.13733548,0.4598357
0.03060407,0.008716197,0.17605637
0,0.03432895,0.13213384
0,0.008877843,0.030248096
0.030569367,0.00222544,0.02991581
0,0.16589521,0.23914959
0,0.015897982,0.0409279
0,0.011384561,0.2597751
0.030108258,0.09355982,0.33845872
0,0.045579173,0.019182442
0,0,0.1847435
0,0.056980245,0.10219924
0,0,0
0,0.008391788,0.011658447
0.1812838,0.002985485,0.17548253
0.09201909,0.010407508,0.13157126
0,0.36895823,0
0,0,0
0,0.03320791,0.26224267
0,0.2841855,0.19661522
0,0.034370873,0.039800942
0.030735768,0.041378554,0.0963908
0,0.14637539,0.1478354
0,0.32295993,0.24141362
0,0.62855005,0.1101879
0,0.010374916,0.14149621
0,0.02730142,0.42661837
0,0.20663838,0.0930019
0.1218196,0.29589677,0.23852925
0.06151987,0.13597234,0.26808307
0,0.32357115,0.28343326
0.030696731,0.012136378,0.013630086
0,0.14285429,0.036573734
0,0.010670831,0.018462578
0,0.022196397,0.062863074
0.061481807,0.039348215,0.032664385
